label,len,qr,count_queries,qry_type,qry_name_enthropy,qry_name_len,count_labels,resp_type,resp_ttl,resp_len,count_auth_rr,count_add_rr,count_answers,count_rtypes
1,307,1,1,5,5.634138927965679,173,10,5,60,5,1,0,1,2
1,76,0,1,5,3.723231428797621,30,7,0,0,0,0,0,0,0
1,162,1,1,5,3.723231428797621,30,7,5,60,3,1,0,1,2
1,74,0,1,16,3.9371932086075945,28,6,0,0,0,0,0,0,0
1,162,1,1,16,3.9371932086075945,28,6,16,60,5,1,0,1,2
1,76,0,1,16,4.031401845392171,30,7,0,0,0,0,0,0,0
1,541,1,1,16,4.031401845392171,30,7,16,60,382,1,0,1,2
1,75,0,1,16,3.952302977662386,29,7,0,0,0,0,0,0,0
1,318,1,1,16,3.952302977662386,29,7,16,60,160,1,0,1,2
1,76,0,1,5,3.8565647621309544,30,7,0,0,0,0,0,0,0
1,162,1,1,5,3.8565647621309544,30,7,5,60,3,1,0,1,2
1,74,0,1,16,4.008621780036166,28,6,0,0,0,0,0,0,0
1,160,1,1,16,4.008621780036166,28,6,16,60,3,1,0,1,2
1,202,0,1,16,5.736556065651036,156,9,0,0,0,0,0,0,0
1,290,1,1,16,5.736556065651036,156,9,16,60,5,1,0,1,2
1,76,0,1,5,3.8565647621309544,30,7,0,0,0,0,0,0,0
1,162,1,1,5,3.8565647621309544,30,7,5,60,3,1,0,1,2
1,74,0,1,5,4.008621780036166,28,6,0,0,0,0,0,0,0
1,162,1,1,5,4.008621780036166,28,6,5,60,5,1,0,1,2
1,76,0,1,5,3.964735178725505,30,7,0,0,0,0,0,0,0
1,205,1,1,5,3.964735178725505,30,7,5,60,46,1,0,1,2
1,76,0,1,5,3.8314018453921723,30,7,0,0,0,0,0,0,0
1,162,1,1,5,3.8314018453921723,30,7,5,60,3,1,0,1,2
1,73,0,1,16,3.9265716511782736,27,6,0,0,0,0,0,0,0
1,159,1,1,16,3.9265716511782736,27,6,16,60,3,1,0,1,2
1,288,0,1,16,5.82307153600592,242,11,0,0,0,0,0,0,0
1,286,0,1,16,5.784242409655811,240,11,0,0,0,0,0,0,0
1,289,0,1,16,5.765299659475077,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.7448818466417,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.729216033756221,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.80449117243422,243,11,0,0,0,0,0,0,0
1,288,0,1,16,5.82320751412271,242,11,0,0,0,0,0,0,0
1,289,0,1,16,5.794582112026644,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.768380026182672,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.757454009589858,243,11,0,0,0,0,0,0,0
1,288,0,1,16,5.781325898181146,242,11,0,0,0,0,0,0,0
1,290,0,1,16,5.802048489034603,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.750034202913154,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.791846819554053,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.767435898977741,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.74905939650456,244,11,0,0,0,0,0,0,0
